# file=09.mp4
# language=zh prob=1
[10.2-12.9] 好 各位投資者朋友們 大家好
[12.9-16.0] 我們繼續上一節課的內容
[16.0-20.3] 我們接下來要講的是上升圖中的縮量
[20.3-23.0] 下跌圖中的縮量還有震盪區間縮量
[23.0-25.0] 包括還有一個地量概念
[25.0-28.4] 我們之前講的都是一些放量的一個情況
[28.4-34.4] 包括溫和 賣充 持續放量 包括量堆
[34.4-38.7] 包括天量 都是一個放大的過程
[38.7-42.1] 接下来我们就要面临的就是一个缩量过程
[42.1-45.0] 其实缩量里面的东西还是还是蛮多的
[45.0-47.4] 缩量也能体现出来一些市场
[47.4-49.3] 包括主力的一些意图
[49.3-51.5] 所以说接下来我们是集中的
[51.5-54.0] 把缩量放在一块来去讲
[54.0-57.7] 同时还有一个我们常听说的一个地量
[57.7-59.5] 好 我们先看一下
[61.5-63.7] 首先我们要对缩量有个认知
[63.7-64.9] 什么叫缩量
[64.9-68.0] 缩量是相对于近期或历史水平来说
[68.0-72.6] 成交量有所縮小代表的是交易活躍度下降
[72.6-76.4] 極度縮量說明市場的一個交易冷清
[76.4-80.2] 還有縮量更能反映市場的一個真實情況
[80.2-82.6] 尤其是下半這句話
[82.6-84.8] 其實更多的時候
[84.8-87.0] 我們面臨的這個縮量
[87.0-89.6] 反映的是一個真實情況什麼意思
[89.6-91.2] 也就是說上漲過程當中
[91.2-92.6] 雖然說成交量
[92.6-96.3] 它反映了相對比較真實的一個交易意圖
[96.3-99.7] 但是有些主力比如说一些主力
[99.7-103.2] 它可以账户之间的这种户岛
[103.2-105.7] 也会导致它的一个成交量加大 对不对
[105.7-111.3] 那也就是说但是如果是锁量相对于放量来说
[111.3-116.8] 它的市场的一个真实情况反应更为准确一些
[116.8-119.6] 你不可能说我两个手户岛我左口袋
[119.6-121.8] 打到右口袋成交量还会减少
[121.8-123.2] 那是不可能的 对不对
[123.2-127.8] 所以说那缩量往往能够反映出来市场的一个真实情况
[127.8-132.4] 当然了放量也能反映出来大部分的一个真实情况
[132.4-135.4] 但是有时候各别的一些案例可能会在放量
[135.4-138.2] 他们也会有故意的这种行为
[138.2-141.8] 也有这样的一种可能缩量基本上没有
[141.8-144.2] 所以说这里就专门还专门写到了
[144.2-147.8] 就是缩量反映了市场的最真实的一个情况
[147.8-150.4] 好 我们看一下这个图很简单
[150.4-151.4] 这就是一个缩量
[151.4-153.0] 它是相较于之前
[153.0-156.0] 有较大的一个明显的一个放量持续性
[156.0-159.8] 然后近期的量能是有一个极度的萎缩
[159.8-161.8] 这就是叫一个缩量的过程
[161.8-163.4] 这是一个缩量过程
[163.4-166.7] 好 我们再结合这实战
[166.7-168.0] 我们去看一下
[168.0-170.1] 首先我们要思考一个问题
[170.1-173.1] 为什么掌食放量
[173.1-176.9] 跌食缩量是市场的一个普遍现象
[176.9-178.7] 为什么是这样的一个普遍现象
[178.7-180.7] 其实不难理解
[180.7-182.7] 就是在上涨的过程当中
[182.7-184.2] 市场的一个交易
[184.2-186.2] 热度是为逐渐的提升
[186.2-188.7] 散货会有这样的一个根峰行为
[188.7-191.2] 也就是说成交量会开始
[191.2-193.2] 慢慢慢慢慢慢开始扩大
[193.2-195.2] 也就是说它的一个火月度
[195.2-196.2] 市场的一个热度
[196.2-197.2] 在不断的提升
[197.2-199.7] 所以往往在上涨的时候
[199.7-202.2] 量能是逐渐释放的一个过程
[202.2-204.2] 这也是我们长轻的
[204.2-206.2] 都是追涨的
[206.2-207.2] 是追涨的 对吧
[207.2-207.8] 为什么呢
[207.8-210.3] 就是在追涨在上涨的过程当中
[210.3-212.6] 他的市场热度以他的摧化
[212.6-215.4] 会导致成交量不断的增强
[216.2-218.5] 低下跌的时候是缩量的
[218.5-220.4] 为什么在下跌的时候是缩量的
[220.4-220.9] 1
[222.2-224.5] 这个股价在下跌的过程当中
[224.5-226.2] 会有这样的一个什么
[226.2-226.9] 当然了
[226.9-229.7] 我们散户往往就是刚开始跌的时候
[229.7-231.3] 会拿一拿等一等
[231.3-232.0] 这个时候呢
[232.0-235.2] 量成交量的会逐渐的什么减少
[235.2-237.8] 然后慢慢慢慢然后量能的就是越来
[238.3-240.2] 跌多了你又不想卖了对不对
[240.2-243.0] 成将量又会进入到一个死循环当中
[243.1-245.5] 所以说在下跌过程当中
[245.6-247.1] 往往就是一个缩量
[247.4-249.7] 这种呢是市场的一个普遍行为
[249.7-251.7] 啊普遍行为是这样的情况
[252.3-255.3] 当然了就会说有没有会在上涨过程当中缩量
[255.3-257.0] 当然也有肯定有啊
[257.0-260.8] 那个呢就属于是主力控排那一个明显的一个标记
[261.0-263.6] 那在下跌过程初期间出现了放量
[263.6-265.6] 會不會也會
[265.6-268.1] 就是我們所謂的什麼恐慌性拋售
[268.1-270.0] 但是它不會是一個
[270.0-272.6] 它不像上漲過程當中的那個放量
[272.6-275.9] 是那種累積式的震盪的那種累積式的
[275.9-277.6] 慢慢慢慢持續進食放
[277.6-281.1] 在下跌過程當中的放量往往可能就存在一天
[281.1-282.5] 這樣的一個情況
[282.5-285.7] 基本上一波恐慌性拋售之後基本上就完了
[285.7-287.7] 所以說是這樣的一個情況
