# file=03.mp4
# language=zh prob=1
[9.3-11.3] 大家好 我是王老师
[11.3-13.8] 那么今天开始第四节的一个课程
[13.8-18.0] 这节课程是一个对中纪形态的一个分析
[18.0-21.4] 这节课程和其他的几节课程会不太一样
[21.4-23.5] 包括和第五节课程也不一样
[23.5-25.7] 其他的四节课程都是
[25.7-27.0] 教大家来
[27.0-29.7] 逃顶和这个超底的
[29.7-33.7] 那么第四节它是一个中纪形态的一个分析
[33.7-37.0] 也就是说你在反弹一段时间之后
[37.0-38.6] 那么它可能会出现
[38.6-43.4] 比如说底部超底的人可能会有一部分人会获利了解一部分
[43.4-50.4] 另外也会有人去成结在中间位置可能会出现一个震荡、宽服震荡
[50.4-55.1] 这个时间段其实是交易者容易犯错的阶段
[55.1-58.3] 有的时候可能会提前就走掉了
[58.3-62.9] 那么后面可能还会有一大波会损失掉这样一个机会
[62.9-66.1] 所以今天我们来逐渣分析一下中级形态
[66.1-68.7] 就是未来涨了一些之后
[68.7-71.3] 未来接下来是会鉴定
[71.3-73.5] 那么还是会建立还有一波上涨
[73.5-76.1] 那么我们接下来会着重分析谈
[77.7-78.9] 来看今天那个课程
[81.7-83.1] 这个就是可能简介
[83.1-84.9] 那么大家在实际交易过程中
[84.9-87.5] 长长会遇到拿不住的一个问题
[87.5-89.7] 就是涨了一段时间这么反弹了
[89.7-92.7] 那比如说你可能之前埋估了很久了
[92.7-95.9] 但是而且有的时候也是套了很久了
[95.9-98.5] 那职长版本是20% 那就走掉了
[98.7-101.3] 所以说我们今天主要来解决这个问题
[101.3-103.0] 就是你拿不是扯码的问题
[103.2-107.2] 我们要反抬一段时间之后会迎来大幅对震荡
[107.2-110.9] 就是长了一段时间之后开始据列震荡
[110.9-114.7] 这个时间其实还是对交易者心理、经验
[114.7-116.2] 其实考验是比较大的
[117.2-120.2] 方向也不明的走实会长很多交易者
[120.2-121.7] 聪邦理场
[122.1-125.3] 最终错过后续的一个趋势机会
[125.3-131.3] 而这就是我们今天要讲的一个中级形态的点心场景
[131.3-137.3] 中级形态常常出现在股价反弹或下跌一段趋势之后
[137.3-140.3] 那大概有的时候是10%有的是20%
[140.3-145.3] 但基本上是在30%以内会出现这种情况
[145.3-148.3] 此时好像进入一个阶段性的整理
[148.3-151.3] 但是并非趋势的一个反转
[151.3-155.1] 只是多空双方短期博弈的一个须力
[155.1-159.3] 学会识别这类形态能够有效规弊
[159.3-162.2] 提前下车的这样一个或者措施上涨
[163.3-167.1] 或者提前抄底遭遇执席下跌这样操作物区
[167.1-170.5] 让交易决策更加理性一些
[171.8-175.4] 同时中级形态本身也运藏了一定的交易机会
[175.4-178.7] 就是你如果说了解了中级形态
[178.7-180.7] 那么你可以通过这样的规律
[180.7-183.4] 然后去做一些交易策略
[183.4-186.7] 可以去做一些比如说突破
[186.7-187.3] 比如说突破
[187.3-188.9] 那么可以做一些追单
[188.9-192.1] 相关的操作 右侧的交易都是可以的
[193.5-196.1] 那么整理阶段的量能和结构变化
[196.1-198.9] 也会给出趋势延续的一个信号
[198.9-200.6] 我们主要去分析
[200.6-203.1] 会有哪些信号出来出现
[203.7-206.1] 尤其对于右侧交易体系的交易者
[206.1-210.5] 能够借此把握顺势入场的一个最佳时机
[210.5-214.5] 然后其实战参考价值也是比较突出的
[214.5-218.1] 那么这个最佳时机怎么体现就是
[218.1-221.1] 你可以比如它在这个震荡阶段
[221.1-222.3] 你若识别到了
[222.3-223.9] 那么你可以提前不入场
[223.9-225.5] 你可以等待等待
[225.5-227.5] 等它最后要突破的时候
[227.5-230.5] 你再来介入这个时机
[230.5-233.9] 你能够规避掉这么长一段时间的一个震荡
[233.9-236.9] 并缅掉资金的一个空转
[236.9-237.9] 这个是
[237.9-239.9] 我们课程的一个大概
[239.9-243.9] 一个简介
[243.9-248.9] 接下来我们来分析点形的一个中级形态
[248.9-250.9] 就是三角形的形态的一个分析
[250.9-252.9] 形态的核心特征
[253.9-257.9] 三角形的开线形态是技术分析中
[257.9-259.9] 集具价值的一个整理形态
[259.9-261.9] 它是一个很典型的整理形态
[261.9-263.4] 它是发生比较多的
[263.4-266.9] 而且是相对来说比较容易识别
[266.9-269.7] 比其他人要容易识别一些
[269.7-273.1] 核心诺是价格震荡幅度逐步收窄
[273.1-274.6] 最开始的时候会非常大
