# file=01.mp4
# language=zh prob=1
[6.8-9.2] 大家好,我是郭尚昌特顾王老师
[9.2-13.2] 那么今天开始第二节的一个指标对教学
[13.2-15.8] 那么今天的一个内容的话是MACD
[15.8-18.1] MACD的一个所有用法
[18.1-20.2] MACD的用法是比较多的
[20.2-22.4] 它可以用各种系统里面
[22.4-24.9] 而且它也是一个默认的一个指标
[24.9-27.1] 在所有的软件里面也会显示
[27.1-29.1] 多数是显示在下来
[29.1-32.2] 下面在核充尿量在一起
[32.2-37.7] 这个是MACD
[37.7-39.0] 那么MACD
[39.0-40.8] 同样它也是默认的指标
[40.8-44.1] 就是它也是容易形成市场合力的
[44.1-47.2] 值得交易者去高度关注
[47.2-48.5] 因为每个人都能看到
[48.5-50.0] 你软件默认打开
[50.0-51.1] 它就在最下面
[51.1-53.0] 大家能够看到指标
[53.0-56.2] 也能够看到指标的进程
[56.2-58.8] 这里指标在出发的时候
[58.8-59.9] 出了某个信号之后
[59.9-62.2] 比如说一个警察信号出来
[62.2-63.2] 一个死产信号出来
[64.9-66.8] 由于受众群体的一个广泛
[66.8-68.1] 就使用群体比较广
[68.1-70.2] 那么是容易形成市场合力的
[70.2-72.2] 新差形成大家都看得惊叹了
[72.2-74.8] 可能大家都觉得这个趋势要向上了
[76.2-77.6] 接着强化信号啊
[77.6-79.8] 强化信号的一个有效性
[79.8-81.8] 那mcd一个核心逻辑的话
[81.8-84.7] 它是显示均线的一个差值啊
[84.7-86.8] 均线的差值差值的变化
[87.8-90.3] 在呈现这个指标时啊
[90.3-91.9] 能够更快的捕捉趋势变农
[91.9-93.7] 就是它比这个均线
[93.7-95.5] 那均线刚才说到
[95.5-98.1] 之前说到也是有这个惊叹和此差
[98.1-101.6] 那么mc的警察死差来的更快一些
[101.6-103.7] 那军线就有制后性
[103.7-106.0] 它可能涨一段时间之后才会出发
[106.0-108.4] 警察就有制后性
[108.4-109.9] 但是mc的话相对来说
[109.9-111.7] 它变化是比较快的
[111.7-115.3] 它能够更好的把握这个行情的一个拐点
[115.3-117.2] 比军线体系的话
[117.2-120.7] 会更早的知道这个提示拐点
[120.7-125.4] 然后帮助交易者避免以过高的成本去介入
[125.4-128.4] 能够抢占整个的一个交易的先机
[130.0-131.1] 此外的话
[131.3-133.4] MAC的应用法也十分灵活
[133.4-134.9] 应用场景比较广泛
[135.4-136.7] 它适合入门
[136.7-139.7] 入门比如说简单的经查死差
[139.8-146.1] 这个是比较适合入门的一些投资者去来应用的
[146.1-148.8] 进阶的话就可能会进阶
[149.4-152.4] 进阶的话就需要配合不同的指标
[152.4-156.0] 那么你可能需要配合这个交易形态
[156.0-157.2] 可以现在交易形态
[157.2-160.5] 然后另外可能要配合这个支撑压力
[160.5-162.4] 一些其他纸包括交易量
[162.4-166.0] 它是也可以作为进阶的一个用法
[166.0-171.6] 然后它还可以用于拐点的一个右侧追单
[171.6-172.9] 比如说进它行程了
[172.9-173.6] 行程了
[173.6-174.9] 这边一个向上
[174.9-176.4] 向上进它一个行程
[176.4-178.3] 那么我可以用来追单
[178.3-179.9] 进它行程我可以追进去
[179.9-183.1] 然后另外的也可以把握这个趋势的延续性
[183.1-187.2] 就是这个趋势在走一个上升趋势而下降趋势
[187.2-190.6] 你通过看这个MACD也是能够看出来的
[192.2-196.2] 另外它也能够清晰的指示航行内趋势
[196.2-197.6] 判断处于上升还是下降趋势
[197.6-198.4] 这刚才说的
[198.7-202.3] 还可以配合其他指标进行一个左侧的提前布局
[202.3-204.6] 就是它可以去抢拐点的
[204.6-206.1] 拐点没来的时候
[206.1-208.5] 那你可以去提前去布局
[208.5-210.7] 然后有效的
[210.7-212.5] 当然还要结合一下指标
[212.5-215.6] 然后提高整个的一个交易的成绩
[215.6-219.5] 同时它还顺于不同交易周期
[219.5-221.7] 那么可以根据你的交易习惯
[221.7-223.7] 你15分钟的也可以做
[223.7-225.2] 然后一个小时的
[225.2-228.1] 那么也会触发一些MCD指标
[228.1-232.4] 然后是构建整个交易体系的一个辅助指标
[232.4-233.0] 这个的话
[233.0-237.1] 其实是MCD可以做一个体系性的一个指标去使用
[237.1-246.3] 那么来看一下MCD的一个构成
[246.3-250.8] 首先是这个DIF线,就是它是一个快线
[250.8-258.6] 由这里面的这个黑色线,是短期12日和26日的
[258.6-263.2] 26日大概就是一个月左右的一个交易日
[263.2-265.3] 那12日的话就是两周的一个交易日
[265.3-272.0] 是它的一个差值,反映的是一个变化
[272.0-276.8] 其实就是12日和16日军线的一个变化值
[276.8-279.9] 然后反映出一个价格的动量
[279.9-281.8] 然后这个慢线da线
[281.8-284.2] da线就是这个蓝色的这条线
[284.2-285.8] 蓝色的这条线
[285.8-286.6] 它是慢线
[287.6-290.4] 也是这个di f线
[290.4-293.0] 它的一个移动平均线
[293.0-293.9] 就是这个快线
[293.9-295.1] 它是一个动量指标
[295.1-296.8] 它可能也是波动比较大
[296.8-298.7] 和刚才讲的那个军线
[298.7-300.9] 是有类似之处
