# file=05.mp4
# language=zh prob=1
[11.7-15.1] 好 各位国城的投资者 朋友们 大家好
[15.1-17.8] 我是国城投言和成兵者
[17.8-22.9] 今天我是想和大家一起去分享一下
[22.9-25.8] 成交量的一个分析法
[25.8-28.2] 也就是量价关系
[28.2-30.7] 其实在我们的投资过程当中
[30.7-32.4] 尤其是在买卖股票
[32.4-37.0] 量和价这两个东西是非常主要的两个东西
[37.0-40.8] 而且在二者的一个关系
[40.8-43.4] 往往能体现出市场的一个
[43.4-44.9] 尤其是主力方向
[44.9-46.9] 它的一个意图所在
[47.3-49.1] 其实我们在炒骨过程当中
[49.1-51.0] 往往会遇到一些问题
[51.0-54.0] 尤其是一些投资者朋友们经常会问
[54.0-55.7] 这个成交量
[55.7-57.5] 有时放有时缩
[57.5-60.3] 到底是放量好还是缩量好
[60.3-63.5] 这个量价都知道是量价
[63.5-65.9] 量价齐行的时候是最好的
[65.9-68.4] 就是量涨价价价都是好的
[68.4-71.3] 但有时候它的一个背像
[71.3-72.7] 有时候量价
[72.7-74.3] 量涨价低
[74.3-75.7] 这样的一个情况下
[75.7-77.5] 我们该如何去操作
[77.5-80.3] 尤其是在现在航行当中
[80.3-81.3] 市场的
[81.3-85.5] 虽然大家都知道是一个牛市的出几阶段
[85.5-89.3] 整体的一个趋势也是向上的
[89.3-90.6] 但是我们看到
[90.6-92.5] 经济整个的市场
[92.5-94.3] 不管受到外卫因素也好
[94.3-97.2] 受到國內的一些不確定因素也好
[97.2-100.2] 整體的一個走勢會偏於震盪
[100.2-104.2] 甚至在盤中有時候還會有這樣的一個極速的下跌
[104.2-105.7] 這是市場
[105.7-108.6] 到個股上面我們又會發現
[108.6-112.4] 每支股票的一個漲跌的一個形態又不一樣
[112.4-116.3] 但是我們在買賣的時候如何去選擇
[116.3-117.7] 能夠把一個
[117.7-121.5] 雖然說大家很多都是覺得這支股票能買
[121.5-123.6] 但是往往買進去的時候
[123.6-127.0] 选不到一个非常非常好的一个位置
[127.0-129.5] 可能会一进去就被套了
[129.5-132.5] 或者是一卖他又卖飞了又涨了
[132.5-134.0] 这样的一个情况下
[134.0-136.4] 我们该如何去面对这样的一个
[136.4-138.1] 错中复杂的一个市场
[138.1-140.3] 接下来的这几天
[140.3-143.9] 我就是通过量价的一个关系
[143.9-146.8] 来让大家真正地去明白
[146.8-149.5] 在一只股票当中
[149.5-152.6] 量和价的一个真正的一个交替关系
[152.6-156.8] 在不同的階段 在不同的時間階段
[156.8-160.6] 這個量價出現的形態 預示著什麼意思
[160.6-164.6] 更多的是我們要去採測這支
[164.6-167.3] 標地 這支股票當中的主力
[167.3-169.6] 它的一個意圖是什麼
[169.6-171.6] 這是最關鍵的
[171.6-173.6] 好 我們先看一下
[174.6-178.6] 我大體把這個課程分成了三大部分
[178.6-181.1] 一個就是分析方法
[181.1-182.8] 分析方法这一块的话
[182.8-190.6] 主要就是先简单的带大家进入到量价的思维模式当中去
[190.6-193.3] 首先我们要认识什么是量价 对不对
[193.3-196.0] 其实字面意思很简单
[196.0-199.6] 量就是成交量价 就是价格
[199.6-201.5] 股票就是这样
[201.5-204.4] 两者是不可分开的
[204.4-208.0] 不能说说有量 没价 有价 无量 都是不对的
[208.0-209.8] 也就是说就好比一个东西一样
[209.8-211.4] 你说这个东西只十块钱
[211.4-212.8] 但是没有成交量
[213.4-214.2] 有价无事
[214.2-215.2] 也没有意义
[215.2-215.8] 对不对
[216.2-217.7] 所以说或者说
[217.7-219.8] 你说我团了一批东西货品
[219.8-223.0] 但是没有一个合适的价格消失出去
[223.0-224.8] 那这个也是一个
[225.8-227.8] 也是一个非常没有意义的东西
[227.8-228.4] 对吧
[228.4-231.4] 但是所以说我们就要通过量价这个东西
[231.4-235.2] 来把它合在一起才能有真正的交易
[235.2-236.4] 与意所在
[236.4-237.6] 这是这一块
[238.0-239.0] 量价分析
[239.0-241.5] 首先我们要确定一些分析的方法
[242.5-244.1] 方法其实有很多
[244.1-246.6] 包括我们认知的
[246.6-248.6] 诸的什么量价齐行
[248.6-251.1] 或者什么量价备离等等
[251.1-254.9] 但是我今天是要通过一些主要的
[254.9-258.0] 量价的一些关系去分析
[258.0-259.5] 当然了分析的方法
[259.5-260.9] 一会大家也会知道
[260.9-264.4] 再一个就是我们要学的一个东西
[264.4-266.0] 就是量价关系
[266.0-268.6] 除了我们知道分析的方法以后
[268.6-270.8] 要把他的一个关系搞明白
[270.8-271.7] 搞明白
[271.7-275.5] 尤其是在不同阶段下的量价的关系
[275.5-277.6] 是一个什么状态
[277.6-281.8] 尤其是我们对这个主力思维的一个挖掘
[281.8-284.6] 去猜测他的一个意图所在
[284.6-288.2] 最后一个就是主力的一个思维
[288.2-289.5] 通过量价的关系
[289.5-293.0] 我们来去推延主力的接下来的一些操作
[293.0-294.4] 其实在过程当中
[294.4-295.3] 其实有一句话
[295.3-298.7] 大家都說無裝不成股
[298.7-301.7] 但是我們知道每一支股票
[301.7-304.3] 它都有它自己的一個主力所在
[304.3-306.2] 都有自己的一個主力所在
[306.2-309.5] 當然我們不去揣測這個主力是所謂的什麼
[309.5-312.0] 國家隊也好還是油字也好
[312.0-314.0] 還是量化也好還是等等等等
[314.0-319.2] 他們在交易的過程中必然會通過量和價
[319.2-322.9] 這兩個東西來體現出來它的意圖所在
[322.9-325.4] 我们就去抓住他的意图
[325.4-328.8] 其实主力在操作过程当中
[328.8-331.8] 也是跟我们的买卖思路
[331.8-333.1] 差不多是一样的
[333.1-337.4] 他也是先买完以后
[337.4-339.0] 当然了他的买的一个过程
[339.0-341.0] 他需要一个很长久的过程
[341.0-342.4] 他不像我们散货是吧
[342.4-343.3] 资金量小
[343.3-345.0] 买个几千古
[345.0-345.6] 什么的
[345.6-346.5] 一下就买进了
[346.5-348.6] 他需要一个长时间的一个什么
[348.6-349.6] 稀仇的
[349.6-352.3] 他需要有一个时间去稀仇
[352.3-355.8] 所以說他的一個稀酬過程
