# file=04.mp4
# language=zh prob=1
[9.5-11.5] 大家好,我是王老师
[11.5-14.9] 那么我们今天来到了我们第五节
[14.9-17.9] 就是最后整个系列的一个最后一节
[17.9-19.1] 大到制检
[19.1-24.3] 支撑压力的支撑压力线的一个压力和支撑
[24.3-26.9] 为什么这么说大到制检
[26.9-31.5] 其实支撑压力大家是比较常见的一个指标
[31.5-34.2] 但是它看起来很简单随便画线
[34.2-37.7] 有的人可能电脚上画了很多的线
[37.7-41.0] 但是其实在找到有效的线是比较难的
[41.0-43.9] 这个是需要多去尝试
[43.9-46.5] 需要很多的一个复盘
[46.5-48.1] 很多的一个总结
[48.1-50.3] 所以说我们放到最后
[50.3-51.7] 它是看起来简单
[51.7-53.9] 但其实应用简单是比较难的
[53.9-56.6] 如果你能找到有效的一个支撑和压力线
[56.6-60.9] 这个对于交易是有很大的帮助
[62.4-65.5] 那么来看一下这个是客户的简介
[65.5-71.2] 支撐压力线其实是技术分析中判定价格趋势编借的一个核心工具
[71.2-74.1] 它本质上也是判定编借的
[74.1-75.7] 它也是用来超抵的
[75.7-78.3] 用来超抵的或者用来逃顶的一个工具
[78.3-80.8] 是应应性比较强
[80.8-84.2] 核心汇质的核心参照
[84.2-89.5] 参照标地是一段周期内运行的一个关键高点和关键低点
[89.5-91.7] 就是你在标记的时候
[91.7-95.8] 一定要找到关键的高点和关键的低点
[95.8-98.8] 这个高点和低点一定要找到特别有效的
[98.8-102.0] 然后高点连城线形成加利线
[102.0-103.2] 然后低点的话
[103.2-105.6] 连城线是构成了支撑线
[105.6-110.4] 通过两条线的区间编借来判断
[110.4-112.4] 股价运行的一个空间
[112.4-113.4] 这个是
[113.4-114.7] 当然这个空间
[114.7-115.7] 大家要看
[115.7-118.5] 有的时候有些公司
[118.5-119.9] 它的波动性比较大
[119.9-123.1] 比如说科技类的 比如传媒类 或者创新药这种
[123.1-124.7] 它的波动比较大
[124.7-126.0] 那么你在画的时候
[126.0-128.8] 你就要把它这个空间放大一点
[128.8-130.7] 那有些公司比如说
[130.7-134.9] 像公司业 像银行这种比较稳健的
[134.9-136.6] 那么你在画的时候
[136.6-138.8] 你就要把这个范围塑小一点
[138.8-140.9] 不要把这个纸成画太高
[140.9-143.1] 那可能长时间没发触及
[143.1-145.5] 也不画太低 太低也是一样的
[145.5-146.4] 可能你想超底
[146.4-147.7] 它就是跌不到哪里
[147.7-149.5] 这个在画的时候
[149.5-151.5] 要判断它的一个运行空间
[152.5-155.1] 另外一块研判方式是偏主观的
[155.1-156.6] 就是我觉得这里有压力
[156.6-158.3] 那可能别人觉得没有压力
[158.3-159.7] 它并不像军线
[159.7-160.5] MACD指表
[160.5-162.9] 它有一个固定的一个公式
[162.9-164.1] 固定参数
[164.1-166.9] 大家在那里都能看到这个指标出发了
[166.9-170.5] 但支撑和压力是需要自己去画的
[171.3-172.7] 软件有的时候会有
[172.7-175.7] 但是那个成功率也不是特别的高
[175.7-178.9] 要根据自己的情况去标记
[179.3-183.1] 不同交易者对周期的选择高低点的选择标准都不同
[184.1-186.3] 化出的支撑压力线也会存在差异
[186.3-188.5] 而且这个差异是比较大的
[189.6-191.9] 对航行判断结果咱也会有所区别
[192.3-196.3] 因此支撑压力线在营营过程中是需要多尝试
[196.6-198.7] 大家没事可以把这个东西软件打开
[198.7-200.3] 可以直接标记上
[200.3-202.9] 标记上比如说也很很之前很久
[202.9-205.1] 之前的一个职程和压力
[205.1-208.7] 你标击上到后面某一段时间没准它到这里的话
[208.7-210.6] 就会有起到一定作用
[210.6-212.4] 这个需要经验的一个机类
[213.6-215.6] 但职程和压力线也并非绝对的
[215.6-217.0] 容易受到资金一动
[217.0-219.2] 就是你看如果说有些量特别大
[219.2-222.5] 这个时候也是容易出现一个失效的
[222.5-224.1] 另外有些突发消息
[224.1-226.4] 突发消息比如说发了财报发了什么东西
[226.4-228.6] 后来说有些利空消息出来
[228.6-232.6] 在这个时候避免用纸正和压力
[232.6-234.6] 避免用一切指标
[234.6-235.6] 就是所有指标
[235.6-238.6] 因为这个消息永远是出发起来
[238.6-241.6] 有的强度大有的强度小
[241.6-244.6] 是很难用纠指标去衡量的
[244.6-247.6] 可能会出现假突破
[247.6-250.6] 因此运动功能中的话
[250.6-252.6] 它的风险比较高
[252.6-255.6] 因为它也是用来抓低点和高点
[255.6-257.6] 偏向左侧交易
[257.6-261.7] 所以说在交易共产党中的话也是严格设置纸损
[261.7-263.8] 有几个都是要严格设置纸损
[263.8-266.5] 比如说MACD的顶备离和抵备离
[266.5-268.3] 都是要严格设置纸损的
[268.3-270.8] 防止误判带来的交易损失
[270.8-273.0] 这个是我们的剪剑
[273.0-277.7] 这我们看支撑压力的解析
[277.7-279.6] 它是一个最基础的工具
[279.6-284.5] 本质是赤上资金在特定的价位形成的一个共识
[284.5-287.3] 就是不认你一个股票下跌
[287.3-290.6] 原来10块钱 最后大5块钱了 跌到这里
[290.6-295.0] 市场就觉得比如做基本面分析的或者做其他分析的
[295.0-297.4] 他觉得这公司是值5块钱的
[297.4-300.3] 这里他就开始尝试的去买入了
[300.3-304.6] 买入就形成一个像上的一个拖举的一个力量
[304.6-308.0] 认为那支撑的话就是价格较低
[308.0-311.1] 愿意入场的这里形成可能就形成一个反弹
[311.1-314.4] 反弹这是支撑
[314.4-316.2] 那压力的话也是同样的
[316.2-320.0] 就是股价涨到一定程度的话
[320.0-321.9] 比如说10块钱是吧
[321.9-324.1] 10块钱从这里涨到了20
[324.1-325.0] 20在这里
[325.0-327.0] 那么大家觉得已经翻倍了
[327.0-329.0] 那么我可以去走掉一部分
[329.0-332.0] 大家在这里形成一个向下卖的一个共识
[332.0-337.4] 就可能会形成向下得一个泡芽在这里
[337.4-339.0] 形成一个压力
[340.6-342.8] 那么支撑线就是阻止价格下跌
[342.8-344.3] 推动价格的反弹
[344.3-346.6] 行政逻辑就是有超底的资金
[346.6-348.0] 有这个直损盘
[348.0-350.4] 有这个机构建倡 买房的力量
[350.4-351.8] 大与卖房的力量
[351.8-354.8] 出现这样一个力量上的一个扭转
[354.8-356.8] 关键特征的话是
[356.8-360.9] 价格触及 通常出现反弹
[360.9-362.6] 而且成交量可能会放大
[362.6-364.9] 就是有证明有资金带入场
[364.9-365.9] 有资金入场
[365.9-368.7] 然后常见的形态有水平的
[368.7-370.1] 有军线之中有趋势线
[370.1-371.9] 有这种形态之称双底
[371.9-374.9] 但我们今天主要分析是水平支撑
[374.9-378.9] 屈事件的支撑的话在后面也会有
